,Unnamed: 0,Post Title,Description,Neighborhood,Price,No. Beds,SF,URL,lat,lon,geometry,code_words,cw_present
0,0,Koreatown *Los Angeles 1 Br / 1 Ba available,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-koreatown-los-angeles-br-ba/7326447486.html""></div>
</div>
- spacious koreatown one bedroom one bathroom apartment<br/>
<br/>
- stainless steel appliances, granite counter tops, and tile floors<br/>
<br/>
- located off of 3rd and vermont right in the heart of koreatown<br/>
<br/>
- secure building with elevator, and gate code access<br/>
<br/>
- walking distance to bowling alley, ralphs freeway<br/>
<br/>
- contact listing agent at  <a class=""show-contact"" data-href=""/reply/lax/apa/7326447486/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 for showings    </section>", (Los Angeles),"$1,700",1.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-koreatown-los-angeles-br-ba/7326447486.html,34.068921,-118.293096,POINT (-118.293096 34.068921),art,True
1,1,2 Bed/ 2 Bath Los Angeles **Koreatown**,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-bed-bath-los-angeles/7326444388.html""></div>
</div>
- spacious koreatown two bedroom two bathroom apartment<br/>
<br/>
- stainless steel appliances, granite counter tops, and tile floors<br/>
<br/>
- located off of 3rd and vermont right in the heart of koreatown<br/>
<br/>
- secure building with elevator, and gate code access<br/>
<br/>
- walking distance to bowling alley, ralphs freeway<br/>
<br/>
- contact listing agent at  <a class=""show-contact"" data-href=""/reply/lax/apa/7326444388/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 for showings    </section>", (Los Angeles),"$2,300",2.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bed-bath-los-angeles/7326444388.html,34.0665,-118.3022,POINT (-118.3022 34.0665),art,True
2,2,830 Crenshaw Blvd. #6 - Spacious 1be/1ba in Koreatown,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-830-crenshaw-blvd-spacious/7316411831.html""></div>
</div>
spacious 1 bed 1 bath located in koreatown. large unit with lots of natural light and airflow, large private balcony, and a kitchen equipped with a stove/oven and a refrigerator. unit is located on the top floor the building. water and trash utilities provided. laundry facilities on site. 1 assigned parking space comes with unit.    </section>", (Los Angeles),"$1,650",1.0,725.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-830-crenshaw-blvd-spacious/7316411831.html,34.058383,-118.321068,POINT (-118.321068 34.058383),private,True
3,3,Where Koreatown Meets Downtown Los Angeles!,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-where-koreatown-meets/7326439371.html""></div>
</div>
<br/>mariposa on 3rd<br/>269 s. mariposa<br/>los angeles, ca 90004<br/><br/>receive up to 10 weeks free on all one and two bedrooms with a 13 to 18 month lease term and free parking on select units! call us today at  <a class=""show-contact"" data-href=""/reply/lax/apa/7326439371/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 to get your appointment scheduled!<br/> <br/><br/>community amenities<br/>the lobby • the alcove • the locus • the golf simulator • the paw spa • the butlerbox • the studio • the movie theater • the kids club • the veranda • the veranda clubhouse • commercial space<br/><br/><br/><strong>monday: </strong>9am-6pm<br/><strong>tuesday: </strong>9am-6pm<br/><strong>wednesday: </strong>9am-6pm<br/><strong>thursday: </strong>9am-6pm<br/><strong>friday: </strong>9am-6pm<br/><strong>saturday: </strong>9am-6pm<br/><br/><br/>  pets - max 2 allowed, max weight 75 lb each, rent $75.00, deposit $500.00 cats -  allowed dogs -  allowed<br/><br/> </section>",,"$2,935",1.0,830.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-where-koreatown-meets/7326439371.html,34.0762,-118.3029,POINT (-118.3029 34.0762),amenities,True
4,4,*2 bedroom/2 bathroom* Koreatown,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-bathroom-koreatown/7326430807.html""></div>
</div>
- spacious koreatown two bedroom two bathroom apartment<br/>
<br/>
- stainless steel appliances, granite counter tops, and tile floors<br/>
<br/>
- located off of 3rd and vermont right in the heart of koreatown<br/>
<br/>
- secure building with elevator, and gate code access<br/>
<br/>
- walking distance to bowling alley, ralphs freeway<br/>
<br/>
- contact listing agent at  <a class=""show-contact"" data-href=""/reply/lax/apa/7326430807/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 for showings    </section>", (Los Angeles),"$2,300",2.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-bathroom-koreatown/7326430807.html,34.068921,-118.293096,POINT (-118.293096 34.068921),art,True
5,5,Apartment for Rent 1+1 in Koreatown!!,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-apartment-for-rent-11-in/7317008588.html""></div>
</div>
location: 515 s serrano ave, los angeles ca 90020<br/>
<br/>
spacious 1+1 located in the center of koreatown! pet friendly.. hardwood floors throughout and a/c installed. kitchen features tile countertops and kitchen appliances. plenty of closet storage space. bedroom features a walk-in closet and ceiling fan. controlled access entry property. laundry on site. surrounded by coffee shops, restaurants and market places. parking is not included.<br/>
<br/>
to request a view or for more information please contact marina  <a class=""show-contact"" data-href=""/reply/lax/apa/7317008588/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 or katie  <a class=""show-contact"" data-href=""/reply/lax/apa/7317008588/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>", (Koreatown),"$1,550",1.0,700.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-apartment-for-rent-11-in/7317008588.html,34.065267,-118.306709,POINT (-118.306709 34.065267),art,True
6,6,Apartment for Rent 1+1 in Koreatown!! w/ Remodeled Bathroom,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-apartment-for-rent-11-in/7317009708.html""></div>
</div>
location: 515 s serrano ave, los angeles ca 90020<br/>
<br/>
spacious 1+1 located in the center of koreatown! pet friendly.. hardwood floors throughout and a/c installed. kitchen features tile countertops and kitchen appliances. plenty of closet storage space. bedroom features a walk-in closet and ceiling fan. controlled access entry property. laundry on site. surrounded by coffee shops, restaurants and market places. parking is not included.<br/>
<br/>
to request a view or for more information please contact marina  <a class=""show-contact"" data-href=""/reply/lax/apa/7317009708/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 or katie  <a class=""show-contact"" data-href=""/reply/lax/apa/7317009708/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>", (Koreatown),"$1,650",1.0,700.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-apartment-for-rent-11-in/7317009708.html,34.065267,-118.306709,POINT (-118.306709 34.065267),art,True
7,7,Studio in Koreatown | Gas Range | Refrigerator | Laundry On-Site,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-in-koreatown-gas/7326420376.html""></div>
</div>
apartment features include<br/>
• disposal<br/>
• heating<br/>
• carpeting<br/>
• hardwood floors<br/>
• gas range<br/>
• refrigerator<br/>
<br/>
community amenities include:<br/>
• covered parking<br/>
• laundry facilities on-site<br/>
<br/>
<br/>
<br/>
we're here to help every step of the way. call and make an appointment with us today!<br/>
on-site tours available by appointment.    </section>", (Koreatown),"$1,375",,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-in-koreatown-gas/7326420376.html,34.081078,-118.299215,POINT (-118.299215 34.081078),art,True
8,8,**2 Move in Specials for Beautiful & Spacious Studio in Koreatown,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lgb/apa/d/los-angeles-move-in-specials-for/7323480239.html""></div>
</div>
**special- contact daniel about $100 amazon gift card special for new approved tenants!<br/>
<br/>
&amp;<br/>
<br/>
***$100.00 off the rent for the first 12 months of the lease.<br/>
<br/>
1,000 security deposit on approved credit<br/>
<br/>
this is a beautiful, spacious studio apartment in prime korea town for $1,345.00 per month, with a one year lease. the walk score in the neighborhood is 96. walking distance to ralph🛒, starbucks☕, 24hr fitness🤸‍♀️, tons of restaurants 🍴🥘🥙 and malls👚👞.<br/>
<br/>
this is a pet friendly building. pet deposit required with pet rent. street parking.🐶🐱<br/>
<br/>
pictures may not be the exact one available now.<br/>
<br/>
*****all utilities included!<br/>
<br/>
728 s. berendo st.<br/>
los angeles, ca 90005<br/>
call/text: daniel  <a class=""show-contact"" data-href=""/reply/lax/apa/7323480239/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>", (Los Angeles),"$1,345",,,https://losangeles.craigslist.org/lgb/apa/d/los-angeles-move-in-specials-for/7323480239.html,34.059368,-118.294208,POINT (-118.294208 34.059368),security,True
9,9,**2 Move in Specials for Beautiful & Spacious Studio in Koreatown,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/ant/apa/d/los-angeles-move-in-specials-for/7323480386.html""></div>
</div>
**special- contact daniel about $100 amazon gift card special for new approved tenants!<br/>
<br/>
&amp;<br/>
<br/>
***$100.00 off the rent for the first 12 months of the lease.<br/>
<br/>
1,000 security deposit on approved credit<br/>
<br/>
this is a beautiful, spacious studio in prime korea town for $1,350.00 per month, with a one year lease. the walk score in the neighborhood is 96. walking distance to ralphs, starbucks, 24hr fitness, tons of restaurants and malls.<br/>
<br/>
this is a pet friendly building. pet deposit required with pet rent.🐶🐱<br/>
street parking.<br/>
<br/>
may not include exact images of available unit.<br/>
<br/>
*****all utilities included!<br/>
<br/>
720 s. berendo st.<br/>
los angeles 90005<br/>
text / call daniel:  <a class=""show-contact"" data-href=""/reply/lax/apa/7323480386/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
</section>", (Los Angeles),"$1,350",,,https://losangeles.craigslist.org/ant/apa/d/los-angeles-move-in-specials-for/7323480386.html,34.059523,-118.294208,POINT (-118.294208 34.059523),security,True
